reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
fbe5a86f-70b8-4460-b85c-cbccceed883e,Chairunnisa Hasibuan,https://play-lh.googleusercontent.com/a-/ALV-UjUISytkgxH1G7_Ce-tTcPXdOnNnO0PL-L_j637YwAy08EcImVWj,"Kecewe dengan sistem go food. TIDAK BISA CANCEL dan TIDAK BISA KOMUNIKASI SAMA RESTO. Menunggu pesanan yang terlambat dan tidak jadi jadi, sangat mengganggu aktifitas. Tolong perbaiki sistem KONSEKUENSI WAKTU ke restonya, kalau telat ya siap di CANCEL, atau paling tidak KOMUNIKASI resto dan customernya dijalin. Kecewa",1,24,5.1.2,2024-11-24 13:44:33,"Hai Kak Chairunnisa, mohon maaf atas ketidaknyamanannya. Ke depannya, jika kamu mengalami hal serupa, klik 'Butuh Bantuan' pada halaman pemesanan, lalu pilih alasan pembatalan yang sesuai, ya. Pesananmu akan dicek terlebih dulu. Jika kamu memiliki pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek. ^Maya",2024-11-24 15:15:46,5.1.2
1f21c550-da6b-4f08-b32e-c31874ab964d,Resha Siswanti,https://play-lh.googleusercontent.com/a-/ALV-UjWfpoWgSabpVKnGU6sEUjzQOj546WkBpKahdNtAjhA7b_QRYeog,"Gojek udah ga kayak dlu. Skrg ongkirnya mahal. Ongkir gofood untuk jarak 1 -2km kayak ongkir untuk jarak 7-10km. Trus ditambah ada biaya layanan juga. Kalo pake mode hemat, prosesnya lama banget. Blm lagi nunggu dapet drivernya. Trus untuk goride kadang susah dpt drivernya. Padahal di lokasi sekitar ada banyak driver. Aplikasi juga sering error.",1,228,4.96.2,2024-10-17 14:38:41,"Mohon maaf atas ketidaknyamanannya, Kak Resha. Fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Biaya Pemesanan dan Biaya Jasa GoFood digunakan untuk meningkatkan layanan kepada pengguna aplikasi, termasuk pengembangan layanan melalui inovasi dan teknologi. ^Maya",2024-10-17 15:26:33,4.96.2
c4f49de5-ac3c-4839-9748-0a21598f8ce4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong dong kasi otomatis batalkan pesanan gofood kalau udh terlalu lama gak dapat driver, sudah terlalu lapar suruh nunggu 1 jam an untuk dapatin driver, kan buang² waktu namanya. payah aplikasinya, mana ongkirnya mahal sekali, dan pelit voucher. Menyesal aku pakai aplikasi ini lagi!",1,65,5.1.1,2024-11-14 15:55:51,"Hai Kak, mohon maaf atas ketidaknyamanannya. Ke depannya, jika kamu mengalami hal serupa, klik 'Butuh Bantuan' pada halaman pemesanan, lalu pilih alasan pembatalan yang sesuai, ya. Pesananmu akan dicek terlebih dulu. Jika kamu memiliki pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek. ^Maya",2024-11-14 16:26:27,5.1.1
0fd2ea4a-a294-4a93-b476-7b760cc02cb3,Mochamad Hipni,https://play-lh.googleusercontent.com/a-/ALV-UjUfdW7QD8CThy52NYLIFn4nOzOvzY5DGggNFMlJhNjPKnYh6-6d,"Kalau ada yang mudah kenapa di persulit, kalau ada yang dekat kenapa dikasih yang jauh, walau kadang kadang pakai gojek, sekali nya butuh eh di kasih driver nya yang jauh, jadi nunggu lama deh, bukan hanya harga yg murah nya tapi cepat & tepat nya , terimakasih",3,8,5.1.2,2024-11-24 13:39:07,"Hai Kak Hipni, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",2024-11-24 15:09:45,5.1.2
23d86120-220e-467c-b1fd-aeb042bed91f,Eka Suciati,https://play-lh.googleusercontent.com/a-/ALV-UjVm9Ai6JDfbr92HbbPW2XoP3IkoStprYsx3yvZowZq7ebdWt-YP,"Tolong banget nih ya, kenapa sih ga dikasih aturan tegas buat driver2nya. Saya order udah sampe 15 menit lebih, berkali2 di cancel sama drivernya. Sebebas itu kah driver untuk pilih2 tujuan, lokasi, dan HARGA?! Impact nya ke jeleknya pelayanan gojek kalo gini!",1,8,5.1.2,2024-11-25 00:43:38,"Hai Kak Eka, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Maura",2024-11-25 01:05:04,5.1.2
ab1cdd8e-3611-4a33-a5a7-096bbc1a8ab3,2EA19_Tarissa Aji Larasati,https://play-lh.googleusercontent.com/a-/ALV-UjXDXAPI_tJ6liq6g6dLyi4dhKBsqiOs_QEfdPLieoZ921gWPfsz3g,"Tolong dong untuk gofood ""pembatalan pesan"" diperbaiki lagi kedepannya misal dikasih waktu 2-5 menit setidaknya. Karena ketika tidak sengaja untuk melakukan pembelian pesanan terus ingin membatalkan pesanan lagi sudah tidak bisa karena cepatnya proses waktu ""pembatalan pesan"" tersebut. Sebelumnya terimakasih dan mohon segera diperbaiki yaa",3,20,5.1.1,2024-11-13 05:38:26,"Hai Kak @2EA19_Tarissa Aji Larasati, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2024-11-13 06:04:57,5.1.1
cfccbc33-c9ce-48ca-b038-227f9429e1e0,Ariefyana Fuji Lestari,https://play-lh.googleusercontent.com/a-/ALV-UjXoMY3OW4QDk3ZStqH005l0VIQ1Dk_mRBDkIXQcdl4rhuSXQlKa,"Masih tetap bintang 1. Voucher khusus goride gak bisa di klaim, udah tungguin sampai tengah malam, malah error dan gak berlaku. Sedangkan buat mobil masih bisa. Apaan.. kita lebih banyak butuh yg motor, bukan mobil. Buang2 waktu dan duit.",1,57,5.0.1,2024-11-17 17:33:31,"Mohon maaf atas kendalanya, Kak Fuji. Terkait laporanmu, pastikan kode voucher yang dimasukkan sudah sesuai, ya. Jika masih tidak bisa, silakan laporkan hal ini melalui halaman Bantuan > ketik ""Tidak bisa menukarkan kode promo"" di kolom pencarian > pilih artikel dan lengkapi form-nya. Kami siap membantu. ^Miko",2024-11-18 03:07:41,5.0.1
7a1cab5a-13f6-4c7f-90a9-78db309a087b,FRAGIL IBNU SIDIQ,https://play-lh.googleusercontent.com/a-/ALV-UjUU_F7Anjq_oV7k1dFnpqiHKpdsAoCm6CHxHuGP3eWGe3JcXV8Y,"GoFood selalu menjadi pilihan saya karena promo diskon makanannya, tapi biaya pengantaran masih terasa cukup tinggi meskipun sudah menggunakan promo. Ongkos GoRide juga cukup mahal. Saya harap Gojek bisa mempertimbangkan untuk menyesuaikan biaya pengantaran agar lebih seimbang dan memberikan pengalaman yang lebih nyaman bagi semua pengguna. Terima kasih atas layanannya!",2,2,4.99.1,2024-11-25 17:02:42,"Mohon maaf atas ketidaknyamanannya, Kak Fragil. Fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Biaya Pemesanan dan Biaya Jasa GoFood digunakan untuk meningkatkan layanan kepada pengguna aplikasi, termasuk pengembangan layanan melalui inovasi dan teknologi. ^Maura",2024-11-25 23:25:08,4.99.1
cc0b2942-2d03-41a3-b88a-dd0babcfe815,Lukas Kerong N. (Luke),https://play-lh.googleusercontent.com/a/ACg8ocIppnl3DxPguoPmP_umXvYbViYAUdkTwWvwFRX3R2omNGDRDw=mo,"Mulai dari proses pemesanan sampai pengantaran luar biasa bagus.👍👍 Sebelumnya sy merasa ada hambatan terutama pada proses masuk aplikasi dan kecepatan layanan, membuat seringnya sy membatalkan pemesanan. Tapi sekarang berbeda, sangat cepat dan nyaman. Semoga ke depan lebih baik lagi atau minimal mempertahankan capaian sekarang. Tabé !🙏🙏",5,115,5.1.2,2024-11-20 05:23:03,,,5.1.2
d725134b-81a0-4fa7-aeb3-b399a7cc6a59,yoyoyotoyoy yoyoyoyotot,https://play-lh.googleusercontent.com/a/ACg8ocJTaAEGDVkv-rJnL3kjNi0dtD_hz7PuG-9V5_jdK_GRpJpNnw=mo,"selaku pengguna aplikasi sangat menyayangkan perihal system orderan dan potongan yg terlalu besar kepada driver gocar. Secara,saat melakukan order terlihat ada(Gambar kendaraan pada peta), tetapi saat order, kenapa order saya jarang kena ke driver yg terdekat padahal saya menggunakan reguler(Katanya terdekat) Sy iseng tanya driver perihal brpa yg didapat atas yg saya bayarkan. Wow, ternyata waktu sy hitung Rata² 30-35% bahkan sempat 42,5% potongan yg dilakukan aplikasi. Miris sekali.",1,20,5.1.2,2024-11-20 11:23:20,"Hai Kak, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2024-11-20 12:59:53,5.1.2
5b96a02b-e892-4015-99d4-025a0fe4d803,Sunarni Ni,https://play-lh.googleusercontent.com/a/ACg8ocIABvE4mNTW94Yf3IT4xygslNZeImj0prTQhtsYbeByTBPJig=mo,"malam,,maaf kenapa gojek sekarang fiturnya ribet ya,,mau goshop susah ,berulang pesen gak bisa2,,padahal sy pelanggan setia pakai fitur goshop ini.biasanya klik pengen belanja langsng bisa,ini sdh nulis panjang lebar giliran klik dibagian belanja pasti gak bisa2.mohon dibikin gampang lg kayak seblmnya,biar pelanggan enak.mksh",2,2,5.1.2,2024-11-24 12:51:12,"Mohon maaf atas kendala yang dialami, Kak Sunarni. Sebelum bertransaksi, pastikan sinyal internet bagus dan sudah pakai aplikasi Gojek versi terbaru, ya. Jika masih berkendala, laporkan melalui halaman Bantuan di aplikasi > ketik ""Tidak dapat melakukan pemesanan"" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Maya",2024-11-24 15:00:52,5.1.2
7b68171b-7474-4258-b21c-97d20ea07cea,Mimi Kartika Lee,https://play-lh.googleusercontent.com/a-/ALV-UjVPsN8hKfBGhgHUMFGwDcE9F0XFscpQjgbKEuXw_0pTdnUQwAw,"Saya rekomendasikan gojek untuk kalian semua karena aplikasi ini sangat berguna untuk orang yang tidak memiliki motor tapi harus pergi,dan juga gojek sangat cepat datang nya dan pelayanan nya baik. Selain itu ada juga gofood untuk mengantar makanan,ada promo"" menarik yang bisa anda coba untuk menjadi lebih murah dan juga anda bisa diam dirumah dan makanan tiba.Jika anda ingin mendapatkan itu semua silahkan download aplikasi ini",5,27,5.1.2,2024-11-24 13:25:06,,,5.1.2
8e2a0150-01f8-4b78-b95c-8821b57de06a,yunus rio Pranatan,https://play-lh.googleusercontent.com/a-/ALV-UjXbg-2Gpj0Ng_NtzlikWYHNwC5Hs7aEEFYzDHmrgK26LCeQKgz4,"Aplikasi payah banget, di peta banyak tanda driver yg terdekat lokasi penjemoutan. Eh dapet nya driver yg jauh banget. Pake ada acara tarif tambahan untuk pencarian cepat driver. Padahal banyak di sekitar. Udh nyangkut nya lama, driver nya jauh, dateng nya lama pula",1,138,4.99.1,2024-11-01 08:14:05,"Hai Kak Yunus, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",2024-11-01 09:18:11,4.99.1
05cc05eb-a938-4d2d-96e4-4de49ff5ea66,denia ratna,https://play-lh.googleusercontent.com/a/ACg8ocIDOFubXTMKwcw2VOA9LK0hHkEI-uZnjCJ-99gPSawzpDQHKw=mo,"Driver tolol. Tolong ditegur dan diedukasi. Masalah pada tarif itu bukan urusan customor, tapi settingan apk perusahaan. Urusan waktu dan lokasi jemput selalu jadi alasan, ya kalo gamau pick up gausah. GPS dan chat selalu non aktif. Tolong edukasi driver. Kecewa.",1,16,5.1.1,2024-11-23 02:20:23,"Mohon maaf atas kendalanya, Kak Denia. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-23 04:32:33,5.1.1
832f4fe8-4fe3-4b10-a81d-96e1d422e492,Ahmad Wadud,https://play-lh.googleusercontent.com/a/ACg8ocIiyOAT0CpTx5mTP93Rlcb2gpc6Z5xXyO6oSPgYRNhaBIdlQQ=mo,Semakin lama semakin gk guna nih aplikasi.. Saya pesen goride.. di gambar banyak skali driver terdekat...eh nyantol nya di jepang saking jauhnya..mana skrg ongkir nya mahal banget..maaf untuk kali saya pindah ke apk sebelah gk ribet.......!!!!,1,14,5.1.1,2024-11-18 07:17:36,"Mohon maaf atas ketidaknyamanannya, Kak Ahmad. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maya",2024-11-18 08:36:03,5.1.1
2f8dbb8f-3450-416c-bee6-b1e43747d5c6,Hasianna Stephanie,https://play-lh.googleusercontent.com/a-/ALV-UjXy4gc1RoSZf3UBNBmXNTdi14y2RWd6-24sINc5yZUlQfsqFg,"Jangan mau pake aplikasi gomart nya diskon nya cuman pancingan ..tetap aja lebih hemat blanja sendiri.. Awalnya Total belanja 53rb, 3 item. Tau tau 1 item yg harga 19rb kosong... Tiba tiba ada biaya penanganan 13 rb ada biaya pengemasan 2rb , dan yg dikembalikan saldo saya cuman 4rb🤣🤣🤣.. bukan 19rb yg item nya gak ada...",1,16,4.99.1,2024-11-22 07:08:54,"Mohon maaf atas ketidaknyamanannya, Kak Hasianna. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maura",2024-11-22 08:07:46,4.99.1
